Nation,Guessed,Representation,Email,Attempted,Success,Email_2,Attempted,Success
 Pakistan,0,"Consulate General of Pakistan in Glasgow, Scotland",copglasgow@gmail.com,0,0,parepglasgow@phclondon.org,0,0
 Pakistan,0,Consulate of Pakistan in Birmingham,parepbirmingham@phclondon.org,0,0,None,0,0
 Pakistan,0,Consulate of Pakistan in Bradford,parepbradford@hotmail.com,0,0,None,0,0
 Pakistan,0,High Commission of Pakistan in London,phclondon@phclondon.org,0,0,None,0,0
 Pakistan,0,Consulate General of Pakistan in Manchester,pak_consulate@hotmail.com,0,0,None,0,0
 Philippines,0,Embassy of Philippines in London,london.pe@dfa.gov.ph,0,0,None,0,0
 Singapore,0,High Commission of Singapore in London,singhc_lon@mfa.sg,0,0,None,0,0
 Sri Lanka,0,High Commission of Sri Lanka in London,mail@slhc.globalnet.co.uk,0,0,None,0,0
 Thailand,0,Consulate General of Thailand in Wales,enquiries@thaiconsulatewales.org.uk,0,0,None,0,0
 Thailand,0,Consulate General of Thailand in Hull,enquiries@thaiconsul-uk.com,0,0,None,0,0
 Thailand,0,Consulate General of Thailand in Liverpool,SUERICHARDSON@BOODLES.COM,0,0,None,0,0
 Thailand,0,Embassy of Thailand in London,visa@thaiembassyuk.org.uk,0,0,None,0,0
 Turkmenistan,0,Embassy of Turkmenistan in London,info@tmembassy.co.uk,0,0,None,0,0
 Uzbekistan,0,Embassy of Uzbekistan in London,"info@uzembassy.uk,",0,0,None,0,0
 Vietnam,0,Embassy of Vietnam in London,vanphong@vietnamembassy.org.uk,0,0,None,0,0
 Anguilla,0,Representative Office of Anguilla in London,ukrep@govanguillagovuk.org,0,0,None,0,0
 Bahamas,0,High Commission of Bahamas in London,info@bahamashclondon.net,0,0,None,0,0
 Barbados,0,High Commission of Barbados in London,london@foreign.gov.bb,0,0,None,0,0
 Belize,0,High Commission of Belize in London,bzhclon@btconect.com,0,0,None,0,0
 Costa Rica,0,Embassy of Costa Rica in London,costaricanembasy@btconect.com,0,0,None,0,0
 Cuba,0,Embassy of Cuba in London,secembajador@uk.embacuba.cu,0,0,None,0,0
 Dominica,0,High Commission of Dominica in London,highcomissions@dominica.uk,0,0,None,0,0
 Dominican Republic,0,Embassy of Dominican Republic in London,info@dominicanembassy.org.uk,0,0,None,0,0
 Grenada,0,Embassy of Grenada in London,office@grenada-highcommission.co.uk,0,0,r.rouse@grenada-highcommission.co.uk,0,0
 Guatemala,0,Embassy of Guatemala in London,info@embaguate.com,0,0,embgranbretana@minex.gov.gt,0,0
 Haiti,0,Embassy of Haiti in London,amb.royaumeuni@diplomatie.ht,0,0,None,0,0
 Honduras,0,Embassy of Honduras in London,hondurasuk@lineone.net,0,0,None,0,0
 Jamaica,0,High Commission of Jamaica in London,jamhigh@jhcuk.com,0,0,None,0,0
 Panama,0,Embassy of Panama in London,panama1@btconnect.com,0,0,None,0,0
 Austria,0,Consulate of Austria in Birmingham,aneum@talk21.com,0,0,None,0,0
 Austria,0,Consulate of Austria in Edinburgh,scotland@austrianconsulate.eu,0,0,None,0,0
 Austria,0,Embassy of Austria in London,london-ob@bmeia.gv.at,0,0,None,0,0
 Austria,0,Consulate of Austria in Manchester,konsulatmanchester@dacbeachcroft.com,0,0,None,0,0
 Belarus,0,Embassy of Belarus in London,uk.london@mfa.gov.by,0,0,None,0,0
 Belarus,0,Consulate of Belarus in London,uk.london@mfa.gov.by,0,0,None,0,0
 Belgium,0,Honorary Consulate of Belgium in Edinburgh,consulbelgiumscotland@gmail.com,0,0,None,0,0
 Belgium,0,Honorary Consulate of Belgium in Manchester,HConsulBelgiumNW@gmail.com,0,0,None,0,0
 Belgium,0,Honorary Consulate of Belgium in Newcastle upon Tyne,david.bradshaw@hay-kilner.co.uk,0,0,None,0,0
 Belgium,0,Consulate General of Belgium in Dover,jgr@georgehammond.com,0,0,None,0,0
 Belgium,0,Consulate General of Belgium in Jersey,allan-binnington@mourent.com,0,0,None,0,0
 Belgium,0,Honorary Consulate of Belgium in Hull,consulbelgium@blcc.co.uk,0,0,None,0,0
 Belgium,0,Embassy of Belgium in London,London@diplobel.fed.be,0,0,None,0,0
 Bosnia and Herzegovina,0,Embassy of Bosnia and Herzegovina in London,embassy@bhembassy.co.uk,0,0,None,0,0
 Bulgaria,0,Embassy of Bulgaria in London,Embassy.London@mfa.bg,0,0,None,0,0
 Czech Republic,0,Honorary Consulate of Czech Republic in Edinburgh,edinburgh@honorary.mzv.cz,0,0,None,0,0
 Czech Republic,0,Embassy of Czech Republic in London,london@embassy.mzv.cz,0,0,None,0,0
 Czech Republic,0,Honorary Consulate of Czech Republic in Belfast,belfast@honorary.mzv.cz,0,0,None,0,0
 Denmark,0,Honorary Consulate of Denmark in Newcastle upon Tyne,johan.pescot.@dfds.uk,0,0,None,0,0
 Denmark,0,Honorary Consulate of Denmark in Hull,dkconsul@kettlewell.com,0,0,None,0,0
 Denmark,0,"Honorary Consulate of Denmark in Glasgow, Scotland",Danishconsulate@eadiecairns.com,0,0,None,0,0
 Denmark,0,Honorary Consulate of Denmark in Edinburgh,denmark@ironsfoulner.co.uk,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Dundee,jill.whittick@kinnes-shipping.co.uk,0,0,None,0,0
 Denmark,0,Consulate General of Denmark in Edinburgh,denmark@ironsfoulner.co.uk,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Leeds,danishconsul.leeds@gmail.com,0,0,michael.thornileywalker@rlblaw.com,0,0
 Denmark,0,Honorary Consulate of Denmark in Birmingham,danishconsulate@temchu.com,0,0,None,0,0
 Denmark,0,"Consulate of Denmark in Aberdeen, Scotland",keith@mackinnons.com,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Milton Keynes,leif.tarp@btinternet.com,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Dover,jamesryeland@georgehammond.plc.uk,0,0,None,0,0
 Denmark,0,Embassy of Denmark in London,lonamb@um.dk,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Stornoway,charlesengebretsen@gmail.com,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Wick,malcolm.bremner@wickharbour.co.uk,0,0,None,0,0
 Denmark,0,Honorary Consulate of Denmark in Manchester,manchester@umgate.dk,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Plymouth,dkconsulplymouth@btconnect.com,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Cardiff,rodaco.cardiff@gmail.com,0,0,None,0,0
 Denmark,0,Honorary Consulate of Denmark in Liverpool,royaldanishconsulate@dantechuk.com,0,0,None,0,0
 Denmark,0,Consulate General of Denmark in Bristol,nigel@ospreyltd.com,0,0,None,0,0
 Denmark,0,Honorary Consulate of Denmark in Belfast,danish.consul@danskebank.co.uk,0,0,michaelm@heyn.uk,0,0
 Denmark,0,Consulate of Denmark in Jersey,george.troy@jerseymail.co.uk,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Southampton,wendy.maughan@btinternet.com,0,0,None,0,0
 Denmark,0,Consulate of Denmark in Portsmouth,avlan8@msn.com,0,0,None,0,0
 Estonia,0,Embassy of Estonia in London,london@mfa.ee,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Southampton,christina.tolvas-vincent@wbd-uk.com,0,0,None,0,0
 Finland,0,Embassy of Finland in London,sanomat.lon@formin.fi,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Belfast,t.e.mckenzie@hotmail.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Birmingham,LAantaa-Collier@wilkes.co.uk,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Dover,jgr@georgehammond.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Edinburgh,harry.nimmo@aberdeenstandard.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Hull,camilla@carlbom.co.uk,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Leeds,sales@uklaminates.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Liverpool,john.gibson@hilldickinson.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Manchester,chris.rostron@ntlworld.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Nottingham,stephen.bolton2@btinternet.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Plymouth,jcsanders13@btinternet.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Sheffield,philip.rodrigo@outokumpu.com,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Cardiff,ResidentJudge.Phillips@ejudiciary.net,0,0,None,0,0
 Finland,0,Honorary Consulate of Finland in Bristol,finnish-consul.bristol@gmx.com,0,0,None,0,0
 France,0,Consulate General of France in London,presse.londres-amba@diplomatie.fr,0,0,None,0,0
 France,0,Consulate General of France in Edinburgh,contact.edimbourg-fslt@diplomatie.gouv.fr,0,0,None,0,0
 France,0,Embassy of France in London,presse.londres-amba@diplomatie.fr,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Coventry,coventry@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Dover,dover@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Jersey,st-helier@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Belfast,belfast@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Cardiff,cardiff@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Leeds,leeds@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Kirkwall,kirkwall@hk-diplo.de,0,0,None,0,0
 Germany,0,"Honorary Consulate of Germany in Glasgow, Scotland",glasgow@hk-diplo.de,0,0,None,0,0
 Germany,0,"Honorary Consulate of Germany in Aberdeen, Scotland",aberdeen@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Guernsey,st-peter-port@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Southampton,southampton@hk-diplo.de,0,0,None,0,0
 Germany,0,Consulate General of Germany in Edinburgh,info@edinburgh.diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Newcastle upon Tyne,newcastle-upon-tyne@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Plymouth,plymouth@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Liverpool,liverpool@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Hull,barrow_upon_humber@hk-diplo.de,0,0,None,0,0
 Germany,0,Honorary Consulate of Germany in Lerwick,lerwick@hk-diplo.de,0,0,None,0,0
 Greece,0,Honorary Consulate of Greece in Leeds,rgiannoudi@aol.com,0,0,None,0,0
 Greece,0,Embassy of Greece in London,gremb.lon@mfa.gr,0,0,None,0,0
 Greece,0,Honorary Consulate of Greece in Birmingham,lianou@hgreekconsulatebirmingham.net,0,0,None,0,0
 Greece,0,Honorary Consulate of Greece in Edinburgh,melpo@blueyonder.co.uk,0,0,None,0,0
 Greece,0,"Honorary Consulate of Greece in Glasgow, Scotland",grcongla@gmail.com,0,0,None,0,0
 Greece,0,Honorary Consulate of Greece in Belfast,honorary_greek_consul.ni@outlook.com,0,0,None,0,0
 Hungary,0,Consulate General of Hungary in Cardiff,alun@alunjdavies.uk,0,0,None,0,0
 Hungary,0,Consulate General of Hungary in Manchester,konz.man@mfa.gov.hu,0,0,None,0,0
 Hungary,0,Consulate General of Hungary in Edinburgh,hu.consuledin@binternet.com,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Liverpool,iceconlpool@gmail.com,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Newcastle upon Tyne,enquiries@mckeagandco.com,0,0,None,0,0
 Iceland,0,Embassy of Iceland in London,london@mfa.is,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Birmingham,nigeldace@hotmail.com,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Belfast,wylies@belfastcity.gov.uk,0,0,None,0,0
 Iceland,0,"Honorary Consulate of Iceland in Aberdeen, Scotland",clive.phillips@brodies.com,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Manchester,iceland.manchester@gmail.com,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Grimsby,jonathan.goolden@wilkinchapman.co.uk,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Jersey,cons@consulateoficelandjersey.com,0,0,None,0,0
 Iceland,0,"Honorary Consulate of Iceland in Glasgow, Scotland",iceland.glasgow@btinternet.com,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Hull,mark.warburton@andrewjackson.co.uk,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Lerwick,aitken@twageos.wanadoo.co.uk,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Edinburgh,iceland@grovesraines.com,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Dover,jpdr@georgehammond.plc.uk,0,0,None,0,0
 Iceland,0,Honorary Consulate of Iceland in Cardiff,amcfarlane@admirallaw.co.uk,0,0,None,0,0
 Ireland,0,Embassy of Ireland in London,londonembassymail@dfa.ie,0,0,None,0,0
 Ireland,0,Consulate General of Ireland in Cardiff,cardiffcg@dfa.ie,0,0,None,0,0
 Italy,0,Consulate General of Italy in Greenock,elisalamb@gmail.com,0,0,None,0,0
 Italy,0,Consulate General of Italy in Hull,info@agenziaconsolarehull.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Newcastle upon Tyne,newcastleontyne.onorario@esteri.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Peterborough,peterborough.onorario@esteri.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Watford,watford.onorario@esteri.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Liverpool,liverpool.onorario@esteri.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Belfast,cons.on.belfast@gmail.com,0,0,None,0,0
 Italy,0,Consulate General of Italy in Nottingham,nottingham.onorario@esteri.it,0,0,None,0,0
 Italy,0,"Consulate General of Italy in Aberdeen, Scotland",aberdeenitalianconsulate@gmail.com,0,0,None,0,0
 Italy,0,Consulate General of Italy in Birmingham,birmingham.onorario@esteri.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Ashford,ashford.honorario@estere.it,0,0,None,0,0
 Italy,0,Embassy of Italy in London,ambasciata.londra@esteri.it,0,0,None,0,0
 Italy,0,Consulate of Italy in London,ambasciata.londra@esteri.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Edinburgh,consolato.edimburgo@esteri.it,0,0,None,0,0
 Italy,0,Consulate General of Italy in Bedford,info@honconsulofitalybedford.co.uk,0,0,None,0,0
 Italy,0,"Consulate General of Italy in Glasgow, Scotland",consolatoglasgow@aol.com,0,0,None,0,0
 Italy,0,Consulate General of Italy in Cardiff,cardiff.onorario@esteri.it,0,0,None,0,0
 Kosovo,0,Embassy of Kosovo in London,embassy.uk@rks-gov.net,0,0,None,0,0
 Latvia,0,"Honorary Consulate of Latvia in Glasgow, Scotland",David.Kaye@harpermacleod.co.uk,0,0,None,0,0
 Latvia,0,Honorary Consulate of Latvia in Edinburgh,latviaedinhoncon@gmail.com,0,0,None,0,0
 Latvia,0,Honorary Consulate of Latvia in Wales,andy.taurins@gmail.com,0,0,None,0,0
 Latvia,0,Honorary Consulate of Latvia in Liverpool,stephen.burrows@brabners.com,0,0,None,0,0
 Latvia,0,"Honorary Consulate of Latvia in Newry, Northern Ireland",info@latvianconsulateni.com,0,0,None,0,0
 Latvia,0,Honorary Consulate of Latvia in Newcastle upon Tyne,steve@gillieblair.com,0,0,None,0,0
 Latvia,0,Embassy of Latvia in London,embassy.uk@mfa.gov.lv,0,0,None,0,0
 Latvia,0,Honorary Consulate of Latvia in Guernsey,lilita@cwgsy.net,0,0,None,0,0
 Latvia,0,Honorary Consulate of Latvia in Staffordshire,consulate@karentracey.com,0,0,None,0,0
 Lithuania,0,Embassy of Lithuania in London,amb.uk@urm.lt,0,0,None,0,0
 Luxembourg,0,Honorary Consulate of Luxembourg in Edinburgh,peter.hillier@cazenovecapital.com,0,0,None,0,0
 Luxembourg,0,Embassy of Luxembourg in London,londres.amb@mae.etat.lu,0,0,None,0,0
 Malta,0,Honorary Consulate of Malta in Stirlingshire,maltaconsul.stirlingshire@gov.mt,0,0,None,0,0
 Malta,0,Honorary Consulate of Malta in Wales,maltaconsul.wales@gov.mt,0,0,None,0,0
 Malta,0,Honorary Consulate of Malta in Belfast,maltaconsul.belfast@gov.mt,0,0,None,0,0
 Malta,0,High Commission of Malta in London,maltahighcommission.london@gov.mt,0,0,None,0,0
 Monaco,0,Embassy of Monaco in London,embassy.uk@gouv.mc,0,0,None,0,0
 Montenegro,0,Embassy of Montenegro in London,UnitedKingdom@mfa.gov.me,0,0,None,0,0
 Netherlands,0,Embassy of Netherlands in London,lon@minbuza.nl,0,0,None,0,0
 North Macedonia,0,Embassy of North Macedonia in London,london@mfa.gov.mk,0,0,None,0,0
 Poland,0,Embassy of Poland in London,london@msz.gov.pl,0,0,None,0,0
 Poland,0,Consulate General of Poland in Belfast,belfast.kg.sekretariat@msz.gov.pl,0,0,None,0,0
 Poland,0,Consulate General of Poland in Manchester,manchester.kg.sekretariat@msz.gov.pl,0,0,None,0,0
 Poland,0,Honorary Consulate of Poland in St. Helier,magda.chmielewska@hotmail.co.uk,0,0,None,0,0
 Poland,0,Honorary Consulate of Poland in Inverness,Zosia@polishconsulateinv.org,0,0,None,0,0
 Poland,0,Honorary Consulate of Poland in Newry,jerome@polishconsulateni.org,0,0,None,0,0
 Poland,0,Consulate General of Poland in Edinburgh,edinburgh@msz.gov.pl,0,0,None,0,0
 Poland,0,Honorary Consulate of Poland in Hull,j.r.carby-hall@law.hull.ac.uk,0,0,None,0,0
 Portugal,0,Consulate General of Portugal in Manchester,consulado.manchester@mne.pt,0,0,None,0,0
 Portugal,0,Embassy of Portugal in London,londres@mne.pt,0,0,None,0,0
 Romania,0,Honorary Consulate of Romania in Morpeth-Newcastle,honconsul_dickson@btinternet.com,0,0,None,0,0
 Romania,0,Honorary Consulate of Romania in Inverness,drew@drewhendry.eu,0,0,None,0,0
 Romania,0,Honorary Consulate of Romania in Leeds,h.consul@romaniaconsulate.org.uk,0,0,None,0,0
 Romania,0,Consulate General of Romania in Manchester,contact@informatiiconsulare.ro,0,0,None,0,0
 Romania,0,Embassy of Romania in London,londra@mae.ro,0,0,None,0,0
 Romania,0,Honorary Consulate of Romania in Bristol,romhonconsulbristol@yahoo.co.uk,0,0,None,0,0
 Romania,0,Honorary Consulate of Romania in Liverpool,consul@rcvbs.co.uk,0,0,None,0,0
 Romania,0,Consulate General of Romania in Edinburgh,edinburgh@mae.ro,0,0,None,0,0
 Russia,0,Consulate General of Russia in Edinburgh,visa@edconsul.co.uk,0,0,None,0,0
 Russia,0,Embassy of Russia in London,office@rusemblon.org,0,0,None,0,0
 San Marino,0,Consulate General of San Marino in London,cons.londra@gov.sm,0,0,None,0,0
 Serbia,0,Embassy of Serbia in London,embassy.london@mfa.rs,0,0,None,0,0
 Slovakia,0,Embassy of Slovakia in London,emb.london@mzv.sk,0,0,None,0,0
 Slovenia,0,Embassy of Slovenia in London,sloembassy.london@gov.si,0,0,None,0,0
 Slovenia,0,Consulate General of Slovenia in Edinburgh,sloveneconsulate@btinternet.com,0,0,None,0,0
 Spain,0,Embassy of Spain in Manchester,cog.manchester@maec.es,0,0,None,0,0
 Spain,0,Consulate General of Spain in Manchester,cog.manchester@maec.es,0,0,None,0,0
 Spain,0,Embassy of Spain in London,emb.londres@maec.es,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Lerwick,iain.tulloch@btinternet.com,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Liverpool,james.hedley@rathbones.com,0,0,None,0,0
 Sweden,0,Embassy of Sweden in London,ambassaden.london@gov.se,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Newcastle upon Tyne,caroline@swedishconsulate-ne.co.uk,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Manchester,manchester@swedishconsulate.co.uk,0,0,None,0,0
 Sweden,0,Consulate General of Sweden in Harwich,neil.cray@dfdstorline.com,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Dover,jgr@georgehammond.com,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Brighton,swedishconsulbrighton@btinternet.com,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Belfast,davidc@heyn.co.uk,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Edinburgh,drew.wallace@dlapiper.com,0,0,None,0,0
 Sweden,0,"Honorary Consulate of Sweden in Glasgow, Scotland",consul@swedenglasgow.com,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Cardiff,annelisroth@gmail.com,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Immingham,camilla@carlbom.co.uk,0,0,None,0,0
 Sweden,0,Consulate of Sweden in Kirkwall,eivor@norsecom.co.uk,0,0,None,0,0
 Sweden,0,Honorary Consulate of Sweden in Jersey,ConsulateofSwedenCI@hawksford.com,0,0,None,0,0
 Switzerland,0,Consulate of Switzerland in Belfast,belfast@honrep.ch,0,0,None,0,0
 Switzerland,0,Consulate General of Switzerland in Guernsey,stpeterport@honrep.ch,0,0,None,0,0
 Switzerland,0,Embassy of Switzerland in London,london@eda.admin.ch,0,0,None,0,0
 Switzerland,0,Consulate of Switzerland in Manchester,manchester@honrep.ch,0,0,None,0,0
 Switzerland,0,Consulate General of Switzerland in Edinburgh,edinburgh@honrep.ch,0,0,None,0,0
 Switzerland,0,Consulate of Switzerland in Cardiff,cardiff@honrep.ch,0,0,None,0,0
 Turkey,0,Embassy of Turkey in London,embassy.london@mfa.gov.tr,0,0,None,0,0
 Turkey,0,Consulate General of Turkey in Edinburgh,consulate.edinburgh@mfa.gov.tr,0,0,None,0,0
 Turkey,0,Consulate General of Turkey in London,embassy.london@mfa.gov.tr,0,0,None,0,0
 Ukraine,0,Embassy of Ukraine in London,emb_gb@mfa.gov.ua,0,0,consul_gb@mfa.gov.ua,0,0
 Ukraine,0,Consulate of Ukraine in Edinburgh,gc_gbe@mfa.gov.ua,0,0,None,0,0
